"Greenhouse gas emissions by economic sector, Canada, 1990 to 2017",,,,,,,
,,,,,,,
Year,Oil and gas (megatonnes of carbon dioxide equivalent),Transportation (megatonnes of carbon dioxide equivalent),Buildings (megatonnes of carbon dioxide equivalent),Electricity (megatonnes of carbon dioxide equivalent),Heavy industry (megatonnes of carbon dioxide equivalent),Agriculture (megatonnes of carbon dioxide equivalent),Waste and others (megatonnes of carbon dioxide equivalent)
1990,106,122,74,94,97,57,52
1991,104,116,73,96,97,58,50
1992,113,117,75,102,94,60,49
1993,121,118,79,93,93,62,47
1994,125,122,79,95,99,65,49
1995,132,123,80,98,100,68,51
1996,139,127,86,98,102,69,51
1997,140,132,83,109,102,70,51
1998,145,139,76,122,96,70,47
1999,154,144,79,119,94,69,47
2000,157,146,86,129,93,70,49
2001,158,148,82,130,87,68,47
2002,161,149,87,123,89,67,47
2003,163,154,92,127,88,70,47
2004,162,159,90,120,92,72,49
2005,158,162,86,119,87,72,47
2006,161,163,81,114,86,70,46
2007,168,167,87,119,86,71,47
2008,160,167,86,110,84,70,45
2009,158,164,85,95,72,68,41
2010,159,170,82,97,74,68,43
2011,165,170,87,88,81,68,44
2012,176,172,86,84,80,70,42
2013,186,175,86,81,78,72,43
2014,193,173,88,78,78,71,42
2015,192,174,86,81,77,71,42
2016,187,174,82,76,76,72,41
2017,195,174,85,74,73,72,42
,,,,,,,
"Note: Data are presented as rounded figures. However, all calculations have been performed using unrounded data. The Waste and others sector consists of emissions from light manufacturing, construction, forest resources, waste and coal production. The Heavy industry sector consists of emissions from mining, smelting and refining, pulp and paper, iron and steel, cement, lime and gypsum, and chemicals and fertilizers.",,,,,,,
Source: Environment and Climate Change Canada (2019) National Inventory Report 1990-2017: Greenhouse Gas Sources and Sinks in Canada (www.canada.ca/en/environment-climate-change/services/climate-change/greenhouse-gas-emissions/inventory.html).,,,,,,,
Available on the Environmental indicators website (www.canada.ca/environmental-indicators).,,,,,,,
